DateTime,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low GammaHigh,GammaPool,Attention,Meditation
2016/02/13/ 19:58:31.94051,1574020,11862386,6226165,12320957,6095087,15466593,3997717,10944539,37,61
2016/02/13/ 19:58:32.90931,1573704,2490512,2097237,852014,12124226,12058653,4128777,15597573,38,51
2016/02/13/ 19:58:33.92499,1587479,10683770,12058806,983195,4522108,9306178,9044040,6029326,27,47
2016/02/13/ 19:58:34.90941,1573160,6357025,11599878,14942224,4390922,1572868,12255236,786435,30,60
2016/02/13/ 19:58:35.90946,1575915,9700377,6684963,10158207,6094898,10944610,8781967,9044032,24,56
2016/02/13/ 19:58:36.92303,1578409,14090696,9896278,11731238,5767353,7667826,8388747,12910649,26,60
2016/02/13/ 19:58:37.90746,1575309,3211468,7667861,11862048,11272233,12517408,1900555,5505038,35,69
2016/02/13/ 19:58:38.89188,1576080,14352823,983122,2752749,2097290,12451961,4718674,7602210,43,69
2016/02/13/ 19:58:39.86068,1573140,11403323,6619151,9633802,3670025,5570569,1507330,3407873,50,69
2016/02/13/ 19:58:40.86073,1574162,10420334,786455,12451882,983102,8847386,1572887,1572875,53,61
2016/02/13/ 19:58:41.86078,1573291,12189729,6881283,10878980,1900558,15859721,14614530,10813441,63,48
2016/02/13/ 19:58:42.86082,1579075,12124565,13107247,1573139,8257599,13434922,10158168,6225940,51,50
2016/02/13/ 19:58:43.84525,1573071,6815787,11468808,262149,131084,15073285,16252932,524289,50,47
2016/02/13/ 19:58:44.86577,1576080,7865322,11993172,2752707,14745776,5701726,15663178,4653096,41,41
2016/02/13/ 19:58:45.83882,1579533,16580752,15990939,12255255,13041705,15204371,5570574,3997710,26,60
2016/02/13/ 19:58:46.84008,1575501,4850257,13434923,10027126,1703987,6815895,2883636,2031628,40,50
2016/02/13/ 19:58:47.83567,1573821,4981006,5177369,1638421,12189703,9961500,2031629,2752516,40,47
2016/02/13/ 19:58:48.84810,1573332,786588,3538968,10289193,2687018,14942241,2097172,10158087,50,50
2016/02/13/ 19:58:49.83252,1580813,197073,12189832,5505127,13828265,8781916,9633827,12648499,57,41
2016/02/13/ 19:58:50.84819,1573171,3604559,9895951,3670051,1572924,15663120,6488080,11075593,51,44
2016/02/13/ 19:58:51.81699,1575221,3539645,589904,10551472,4653170,9961599,3145817,6488113,56,51
2016/02/13/ 19:58:52.81704,1575478,15532177,4915251,15728680,13762579,13565990,2228232,14614541,56,54
2016/02/13/ 19:58:53.81709,1573234,7274524,10682370,6029327,15466506,15335430,11730949,9371650,57,56
2016/02/13/ 19:58:54.78588,1573607,7995463,7012384,851983,11337758,10813464,1638414,15466507,63,56
2016/02/13/ 19:58:55.79785,1573069,3211285,2818057,7340041,7798790,7995401,3866626,3014657,67,61
2016/02/13/ 19:58:56.81353,1573091,11993113,8126509,15466509,16187403,14155822,15466516,13828101,81,64
2016/02/13/ 19:58:57.79795,1575643,6226099,2162705,4915216,10551341,14417952,12058636,524298,83,54
2016/02/13/ 19:58:58.78238,1573408,14352429,2359312,4456543,7667739,12189734,2818060,8060935,84,63
2016/02/13/ 19:58:59.79805,1573699,13566045,16056333,1900604,14155826,1507380,5832714,12320774,90,61
2016/02/13/ 19:59:00.75122,1582329,16647697,3211377,5111866,655556,3146012,3604538,5832803,77,41
2016/02/13/ 19:59:01.75127,1576475,14288057,14418004,12845138,2031933,12648553,12320828,13828178,67,40
2016/02/13/ 19:59:02.76800,1583224,1770032,3014818,7274683,15990897,6815941,1441834,2293786,66,30
2016/02/13/ 19:59:03.79040,1573184,10027163,13828115,12058642,10223657,13697061,7208971,5439493,60,24
2016/02/13/ 19:59:04.72794,1573928,8126523,15859798,3145734,4522007,8912930,5767185,327688,64,44
2016/02/13/ 19:59:05.72799,1575785,14157571,5243340,16711709,1638499,9830498,2490470,8912919,57,53
2016/02/13/ 19:59:06.78503,1573792,8650978,7143441,14483461,8192009,7733259,1638406,4194306,41,40
2016/02/13/ 19:59:07.74182,1579824,262740,787266,14745721,7667950,327851,11337869,12058718,35,54
2016/02/13/ 19:59:08.74187,1572964,1703988,13434917,12320786,2359301,3080199,13959174,16711682,21,54
2016/02/13/ 19:59:09.71066,1576065,6226457,6750459,10551436,4325503,2490477,3932247,11403329,34,61
