Time,0.1~4,4~7.5,8~13,13~30,30~70
2016_02_13_19_59_47_10348,222267.356197572,161275.244310961,181895.166661814,454693.608324953,482001.825608061
2016_02_13_19_59_51_10368,370980.25066206,384211.221337136,355248.53548372,446880.747951967,422515.645191408
2016_02_13_19_59_55_03781,262595.485873788,274731.880196411,171324.143963986,352447.881538432,347852.648479391
2016_02_13_19_59_59_01255,237953.583803872,181060.124651185,201135.993765065,316166.217921003,363818.040778311
2016_02_13_20_00_03_02839,215344.492198086,232331.773877222,196695.321388152,330166.190535357,401280.957445943
2016_02_13_20_00_07_01296,253260.328073218,307390.496617462,209035.750198338,623158.970457931,743913.384333353
2016_02_13_20_00_11_01316,428371.054400372,472844.777323481,459567.314799025,1016350.4256037,699580.163022143
2016_02_13_20_00_14_96647,397883.771513146,277725.619202337,325345.583706998,680698.016796826,504141.480616297
2016_02_13_20_00_18_97781,298215.811789078,401346.37611258,296119.442076308,641307.202800023,580561.887620605
2016_02_13_20_00_22_93492,367149.231075221,237054.570603717,207053.518105897,384662.365394834,427411.655102031
2016_02_13_20_00_26_94646,964543.377355089,613288.431428981,424070.787793422,938148.831992755,827060.286819638
2016_02_13_20_00_30_89900,1189431.46982055,601363.187308606,440482.152555081,690546.438235389,691649.749583494
2016_02_13_20_00_34_91657,345966.124952622,278643.429668899,240919.04809242,430703.031576988,497028.353031161
2016_02_13_20_00_38_89613,277013.779500179,265385.599960845,216484.8811943,374482.840464779,464226.721069297
2016_02_13_20_00_42_87118,409701.192242614,294149.651941109,363341.324497155,702442.828176771,695698.156530979
2016_02_13_20_00_46_88701,300352.981821385,298453.69679556,254495.420494294,653089.194452939,591382.551463494
2016_02_13_20_00_50_84032,563690.332068108,680259.332731857,522789.944896355,877839.390623944,719503.039098804
2016_02_13_20_00_54_84894,399436.307160617,357317.725014112,349910.009489778,759985.04783304,565395.152925704
2016_02_13_20_00_58_83241,535839.607172293,430083.233631789,454069.603814246,887194.984604552,615028.374600095
2016_02_13_20_01_02_81698,317284.551033798,356795.116515193,338123.362105128,588595.353908726,565477.162453135
2016_02_13_20_01_06_77034,498286.845185133,230507.051231686,208660.74267551,407598.18043193,392598.360700277
2016_02_13_20_01_10_78145,186145.134303126,199212.598364296,236665.850896789,430231.17509205,403680.864359766
2016_02_13_20_01_14_75039,222821.687532142,194427.661256562,245125.408366679,549254.097590395,429485.767521502
2016_02_13_20_01_18_73496,211954.596656701,277380.537233017,227151.682296314,384088.287316043,424153.011965559
2016_02_13_20_01_22_73516,366549.495307988,231016.662195188,230178.172933312,495656.464108853,435479.761352857
2016_02_13_20_01_26_72450,243677.379980722,209331.132120242,170605.433192074,479150.966100712,403346.293228022
2016_02_13_20_01_30_70153,245041.050016285,169654.384594217,179877.223646706,309939.261142301,365982.504833556
2016_02_13_20_01_34_70173,213020.884824873,188254.081307996,201650.339068143,428373.754132786,418582.065330048
2016_02_13_20_01_38_67068,207554.380207583,189446.882954611,189060.092971297,333135.093808479,381730.367674034
2016_02_13_20_01_42_67087,161787.814231836,170012.270235477,151237.234955019,339599.355560512,366059.991398217
2016_02_13_20_01_46_62419,193419.163392802,220116.476587314,164599.299012168,349771.817411665,412316.463458976
2016_02_13_20_01_50_67127,540848.5734796,377462.94213232,212488.62466112,351507.972170918,339848.219318639
2016_02_13_20_01_54_63476,453254.19508595,266818.525530992,204588.860428516,429377.804269737,478870.72305921
2016_02_13_20_01_58_62276,314820.879053753,311440.806517177,242638.198613151,399976.60405325,439516.249184259
2016_02_13_20_02_02_60256,223748.248344804,275281.32228643,274513.586297839,428307.559016676,450019.408000035
2016_02_13_20_02_06_58127,196842.357408631,168387.76565122,184879.325827424,408014.253513888,371598.709337995
2016_02_13_20_02_10_56557,232581.862940113,194498.436385715,161830.605790278,364018.12557358,410522.548696451
2016_02_13_20_02_14_55014,210922.329387779,222879.086584668,166986.742694071,336179.661692342,346650.536963804
2016_02_13_20_02_18_51909,294616.942647536,257110.1798075,176710.240919631,342769.168309341,324704.488344024
2016_02_13_20_02_22_51093,160204.520267299,209889.770418907,159824.897381722,281476.536415152,326215.330949398
2016_02_13_20_02_26_51113,198971.306133217,143972.857795153,98781.4396180491,293251.14530785,295738.735707524
2016_02_13_20_02_30_49354,351533.331873616,191972.004762892,123964.968474674,318425.904186006,340407.221797557
2016_02_13_20_02_34_49730,362120.116508862,252703.210962198,198306.38835651,356208.695801031,378157.187668129
2016_02_13_20_02_38_46320,204655.498890542,246751.51110115,181676.548461038,418149.072476722,461658.048989632
2016_02_13_20_02_42_43340,280335.191056726,310604.125867254,193315.633923557,435432.963445048,435779.813089018
2016_02_13_20_02_46_43960,164802.706998788,227617.829919501,221361.520631961,416499.013509386,515615.361228958
2016_02_13_20_02_50_40550,235147.650636016,170928.788713126,217152.005502135,436560.317395134,545774.621301167
2016_02_13_20_02_54_40102,347654.92527982,218165.772464343,208259.633647281,420420.273810284,481063.174253165
2016_02_13_20_02_58_37905,252002.675259196,334771.709670759,280427.256035438,520073.278468044,502749.770490874
2016_02_13_20_03_02_36493,316456.315757085,335295.893832435,215706.687529749,518108.511789705,572646.550335316
2016_02_13_20_03_06_33186,250756.172970749,216502.520900815,198946.924016793,443945.100931619,489312.098751071
2016_02_13_20_03_10_35532,808607.356667502,722483.813480043,391715.996439135,548818.660201274,592943.695063967
2016_02_13_20_03_14_32426,372001.545905374,343881.637375008,349763.474386403,623037.90291877,617556.22477452
